gvkey,company,date,alpha,beta,delta,mu,A_used,L_used,PD_P_1y,PD_Q_1y,q_feasible,train_end_date,train_end_anchor,oos_end_anchor,training_end
101336,SCHNEIDER ELECTRIC S E,2015-01-23,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,59549988827.957756,19625000000.0,0.000691295744948481,0.021219222443703334,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-01-30,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,58824515935.99162,19625000000.0,0.0007204762945736168,0.021470664621792594,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-02-06,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,59412919166.399216,19625000000.0,0.000696682931267127,0.02138590935595808,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-02-13,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,60264176156.97874,19625000000.0,0.0006641330713293132,0.020994719743923685,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-02-20,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,61388583816.23812,19625000000.0,0.0006242608791848256,0.02067217882566424,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-02-27,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,63133271093.94271,21007000000.0,0.0007140863715986383,0.02185790473193076,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-03-06,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,63111409336.4386,21007000000.0,0.0007149218780064242,0.021719595971066555,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-03-13,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,64027792798.19447,21007000000.0,0.0006810200085167124,0.02154785080152447,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-03-20,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,64417471771.24016,21007000000.0,0.000667272267077334,0.021347985195514244,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-03-27,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,63223553207.33442,21007000000.0,0.000710650178907611,0.021913496116132598,True,2014-12-26,2014-12-31,2015-03-31,0
102296,VINCI SA,2014-12-26,2.25,-0.00018889352846407847,0.00024914598876648664,0.001130228262316216,75986078150.99725,48816000000.0,0.001988730081379452,,False,2014-12-26,2014-12-31,2015-03-31,1
14447,LVMH MOET HENNESSY LOUIS V,2014-03-28,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,95823389802.34546,27951000000.0,0.0005273831510288565,0.009688645919437222,True,2014-03-28,2014-03-31,2014-06-30,1
14447,LVMH MOET HENNESSY LOUIS V,2014-04-04,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,95767067848.28537,27951000000.0,0.0005284006600689951,0.009608390605647627,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-04-11,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,99603476616.0865,27951000000.0,0.00046481537789853136,0.009141382272307558,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-04-18,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,100448519210.29889,27951000000.0,0.00045223710416674194,0.009084997003956128,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-04-25,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,100061415873.975,27951000000.0,0.0004579402374933395,0.009043086594645599,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-05-02,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,99484227026.04376,27951000000.0,0.0004666289546128338,0.00922933527484612,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-05-09,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,100027326669.87968,27951000000.0,0.0004584471940049548,0.009220443341061854,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-05-16,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,100998265277.01488,27951000000.0,0.00044430422290145746,0.009177907548671376,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-05-23,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,100697907279.6134,27951000000.0,0.00044861449525281723,0.009287334874538405,True,2014-03-28,2014-03-31,2014-06-30,0
14447,LVMH MOET HENNESSY LOUIS V,2014-05-30,2.25,8.135879502990878e-05,0.0010910243279420458,0.0007175423831919279,102124452150.47238,27951000000.0,0.0004286401788771654,0.009161419843627108,True,2014-03-28,2014-03-31,2014-06-30,0
