date,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,window_idx,ok,msg
2014-07-04,117381744262.97546,-11.926798028712653,30464000000.0,1.7025310299534078e-32,6.288431584435504e-25,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-07-11,114116808042.66019,-11.929655824758932,30464000000.0,2.1858324251734843e-31,5.790255709453616e-24,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-07-18,113866257040.89523,-11.924980037715486,30464000000.0,2.6616053691268946e-31,6.825745389280847e-24,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-07-25,112099848098.11739,-11.931158398743683,30464000000.0,1.0714577936251224e-30,2.2992767028568796e-23,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-08-01,109635812476.3515,-11.931667987276079,30464000000.0,7.570443923678642e-30,1.2472474770167989e-22,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-08-08,109131535399.39352,-11.931973318012759,30464000000.0,1.1315788154764738e-29,1.7653000967514149e-22,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-08-15,109371215916.76251,-11.931718669861034,30464000000.0,9.347221200654066e-30,1.4963465674553694e-22,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-08-22,112365782461.09637,-11.933643435521816,30464000000.0,8.683781707899368e-31,1.9231412758183324e-23,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-08-29,114870893025.14252,-11.94828961334811,30464000000.0,1.2094874172171858e-31,3.552964609588244e-24,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-09-05,117820122369.38493,-11.973988175261226,30464000000.0,1.2108766145973658e-32,4.985786625047807e-25,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-09-12,118270857238.97119,-11.966247486590603,30464000000.0,8.533774321230337e-33,3.6394226294535706e-25,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-09-19,123316783393.38531,-11.96917331333779,30464000000.0,1.7551723296780561e-34,1.238798673493849e-26,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
2014-09-26,121498497015.26575,-11.971065283911607,30464000000.0,7.0653784393911865e-34,4.1858354153690913e-26,474.36703607226275,60.8012778437875,8.079847776520134,-0.8457655746356529,False,10,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100080,1,True,ok
