gvkey,train_start,train_end,n_obs,window_idx,sigma_lo,sigma_med,sigma_hi,sigma_mean,mu_lo,mu_med,mu_hi,mu_mean,n_rejects
101361,2015-01-01,2016-12-31,105,4,0.1255033795594891,0.1424260886789414,0.16351741648672355,0.14287947765861234,-0.07457058116157501,0.12154913885759999,0.3166435052748034,0.12017947638568094,0
101361,2015-04-01,2017-03-31,105,5,0.12464611132772503,0.14141956911270043,0.1641564565320444,0.14219129863125313,-0.08616600056951845,0.11420286167418997,0.3162251736452973,0.11419571537967162,0
101361,2015-07-01,2017-06-30,105,6,0.11979106727849972,0.13603726401630564,0.15649309363399405,0.1365638802851245,-0.04065790987518539,0.14420089077096868,0.32340875080887593,0.14379954938149217,0
101361,2015-10-01,2017-09-30,105,7,0.11524539670403544,0.130993106344119,0.15085101266245357,0.13150019027001172,-0.0476451956354938,0.13876976136202795,0.3228513596219832,0.13959218239883855,0
101361,2016-01-01,2017-12-31,105,8,0.1106219453340711,0.12599080823461647,0.14579401170394213,0.12651917785553946,-0.03691358873733164,0.1353397173122502,0.3165829804507158,0.1358909544447872,0
101361,2016-04-01,2018-03-31,105,9,0.11018773431982863,0.12518476514068938,0.14491309718913206,0.12560437552329895,-0.08064637514413142,0.08213893729875923,0.2493316484603431,0.08407773112404691,0
101361,2016-07-01,2018-06-30,105,10,0.1014587841029883,0.11513299328595619,0.1333802205385997,0.11591257077697176,-0.06100620865513313,0.09974135894575414,0.2632432104545194,0.09997029466969269,0
101361,2016-10-01,2018-09-30,104,11,0.10016768982167286,0.11491157983162578,0.13174621967782188,0.11505018603261917,-0.027640094033434797,0.14520048834384391,0.306074233608432,0.14309586611472172,0
101361,2017-01-01,2018-12-31,105,12,0.10184977873030074,0.11602568164179777,0.13299511006179374,0.11619875860461075,-0.025151100254096205,0.1298453561934914,0.2898095105210711,0.131077376092648,0
101361,2017-04-01,2019-03-31,104,13,0.1028013337492144,0.11712367156285243,0.1366085573781693,0.11768407613569601,-0.0325261598519237,0.129179107175099,0.2825549270211194,0.12825579223149797,0
101361,2017-07-01,2019-06-30,104,14,0.10137793391033155,0.11516950599533739,0.13265388597006306,0.1155754896297731,0.009488910916468318,0.17235158268123627,0.3348775383108426,0.17265207412424405,0
101361,2017-10-01,2019-09-30,105,15,0.10795990525738788,0.12237888916990725,0.14111599830003044,0.12294879391101711,-0.003906628934645346,0.1719174907704461,0.35664494497514304,0.17384246168538575,0
101361,2018-01-01,2019-12-31,105,16,0.11086493021483809,0.126084372448017,0.14464344809799,0.12663542883370352,-0.05714185302180447,0.11190033298955554,0.2870881824350897,0.11330572026988368,0
101361,2018-04-01,2020-03-31,105,17,0.13501109910702672,0.15390551910567424,0.1774455419368037,0.15432320079413547,-0.08549998985385096,0.1316506136354445,0.33821923555843336,0.13120639978888102,0
101361,2018-07-01,2020-06-30,105,18,0.1413608510982686,0.16099865213467385,0.18474242116394846,0.16179591033727897,-0.10109644082793656,0.1188577507039494,0.3417698210729908,0.12204250553290896,0
101361,2018-10-01,2020-09-30,105,19,0.14102687258163527,0.16059676878784482,0.18460199349446782,0.1611911352040176,-0.10081638233359264,0.13146333678241856,0.34683313387390174,0.13065243333782933,0
101361,2019-01-01,2020-12-31,105,20,0.1444029172976779,0.1641853242462299,0.1880465016776958,0.1647919515079759,-0.10443371449533438,0.11095400975659175,0.33669249907604987,0.11221353252566722,0
101361,2019-04-01,2021-03-31,105,21,0.1466702675361556,0.16682600586023108,0.1905884901218126,0.1672680110956242,-0.15763812069940264,0.07136948276782235,0.31645285826597314,0.07292275144580858,0
101361,2019-07-01,2021-06-30,105,22,0.1480877269026448,0.16852138204395722,0.19463237335505762,0.1692484731611421,-0.11477055073144515,0.10925925679968734,0.3459566203221637,0.10847986675815424,0
101361,2019-10-01,2021-09-30,105,23,0.14645063489182047,0.16779843794491284,0.1932119316443349,0.16796048309775902,-0.09755514134453888,0.1297640452987046,0.3595951268485074,0.13040609435795722,0
101361,2020-01-01,2021-12-31,105,24,0.1506557436599371,0.17090527440250008,0.19664531583828238,0.17150972355770516,-0.04263931655892073,0.18066086884375732,0.410096746431975,0.18196740959971197,0
101361,2020-04-01,2022-03-31,105,25,0.14443596925310012,0.16524479803888048,0.19020397221812557,0.16594355709585534,-0.06384717622980118,0.16929189064575745,0.40191146748137163,0.17009178808671294,0
101361,2020-07-01,2022-06-30,105,26,0.14142693105576382,0.16042155131399985,0.18466164487862607,0.16110552265303305,-0.11442793375806708,0.110931180728569,0.33706956684445444,0.1105387699271106,0
101361,2020-10-01,2022-09-30,105,27,0.14518350544455247,0.16444939447537216,0.1898259263231286,0.16515331586962947,-0.11622913911965933,0.12222212173803058,0.35433051486765427,0.11869450025642536,0
101361,2021-01-01,2022-12-31,105,28,0.14641238555371028,0.16614310673406177,0.1915460817553093,0.1670022397621645,-0.08450040120203325,0.14239150366752523,0.3753776037427877,0.1445773296551862,0
101361,2021-04-01,2023-03-31,105,29,0.14770970939768632,0.16726976978335586,0.19180930166265275,0.16792513863435812,-0.038637371102241254,0.19937768901717684,0.41978456214091586,0.19638385730794689,0
101361,2021-07-01,2023-06-30,105,30,0.15748405790631567,0.17839609715059504,0.20640276244539246,0.17924444846585158,-0.10876608915516943,0.13963033130059083,0.3786998109393588,0.13888084677229484,0
101361,2021-10-01,2023-09-30,105,31,0.1596566354416238,0.18078520915462248,0.20978870987250212,0.18178273420911947,-0.1730884050155582,0.09487183570142232,0.337323687147748,0.09283485935291245,0
101361,2022-01-01,2023-12-31,104,32,0.15603303852233202,0.17859497314579217,0.20503544324257644,0.17898674912511262,-0.12854615455179363,0.11765700983503369,0.3727158061285369,0.11761290392128242,0
101361,2022-04-01,2024-03-31,105,33,0.14302004569202442,0.16128292378451875,0.18506975138708828,0.16210549022900994,-0.06113301779884097,0.16441165287959275,0.38133295291265373,0.1625470653641933,0
101361,2022-07-01,2024-06-30,105,34,0.14010294306151944,0.15829727419851747,0.1843420448549076,0.15934449676938067,-0.009534874445907072,0.2080430367319041,0.4249144268686413,0.20649523102655015,0
101361,2022-10-01,2024-09-30,105,35,0.1399933196133402,0.15954238649139668,0.1828424981641103,0.15991120268733333,-0.07794386921429532,0.14638480724924752,0.3701163975249398,0.14307046325810963,0
102296,2014-01-01,2015-12-31,105,0,0.06986426449916902,0.07876324226479552,0.09071004005206687,0.07924085229473343,-0.05792347564848415,0.0520560481961513,0.16055111172680686,0.05174524940188494,0
102296,2014-04-01,2016-03-31,105,1,0.07476561541114095,0.08451504762972495,0.09781161860734613,0.08506071070258794,-0.09032210666564515,0.02553392267698575,0.1462887012068077,0.025432157316483815,0
102296,2014-07-01,2016-06-30,105,2,0.07878127684173787,0.08941559287861117,0.10326214632325201,0.08978922444366903,-0.10324633403934351,0.02388447725979763,0.14717318472471216,0.023249032669073914,0
102296,2014-10-01,2016-09-30,105,3,0.07645732446369173,0.08713271038779134,0.09998676181862964,0.08736481687558563,-0.047232967677887094,0.07034669191430382,0.19467550499140046,0.0713268719731412,0
102296,2015-01-01,2016-12-31,105,4,0.07351605286408122,0.08342888141737878,0.09578352416736523,0.08369446349315762,-0.04664605717507562,0.06849113577264163,0.18239903337378374,0.06763696916990168,0
102296,2015-04-01,2017-03-31,105,5,0.07618384150200232,0.08643580603122564,0.10033264225433122,0.08690749565886059,-0.03697988066444774,0.0853640122403001,0.2085205483592211,0.08542836620771388,0
