date,window_idx,ok,msg,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter
2015-08-07,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,96566966269.88287,-15.193802007384114,56703000000.0,1.4024693998555989e-13,1.3036227208141701e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-08-14,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,96231495710.02425,-15.184469756389383,56703000000.0,1.8858897119385803e-13,1.6562116435194768e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-08-21,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,93098770438.40816,-15.169398807798274,56703000000.0,2.911604888536696e-12,1.5523257809345687e-08,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-08-28,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,94324938539.7711,-15.157488546900517,56703000000.0,1.0039064292067004e-12,6.458269968554798e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-09-04,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,93553967014.41493,-15.17985804325155,56703000000.0,1.962894042801356e-12,1.1309684190503775e-08,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-09-11,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,93401382580.84377,-15.165096678439845,56703000000.0,2.2405492444727535e-12,1.2506734654259035e-08,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-09-18,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,93884681254.46075,-15.179009442938693,56703000000.0,1.4728624581171e-12,8.938466218924202e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-09-25,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,94308734757.2982,-15.179505714502639,56703000000.0,1.0181893015758083e-12,6.608188789310594e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-10-02,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,91807277236.13216,-8.475277067644104,56703000000.0,2.929647199834792e-09,2.6286905849478354e-07,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-10-09,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,94067001374.72746,-8.46570112058626,56703000000.0,6.057790081475321e-10,6.61011165970831e-08,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-10-16,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,94195671176.07596,-8.483576296988083,56703000000.0,5.533785737945742e-10,6.163479730756432e-08,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-10-23,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,99084810712.3501,-8.512245684482618,56703000000.0,1.6910581371668556e-11,2.911349903565177e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-10-30,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,99365197414.83449,-8.516498885481298,56703000000.0,1.3807824308712897e-11,2.439691543935519e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
2015-11-06,6,True,ok,2013-10-04,2015-09-25,2015-10-02,2015-12-25,220940,100409554071.8886,-8.512813101059741,56703000000.0,6.47536567635792e-12,1.2456989946578013e-09,150.10711231961093,37.6928962440444,1.316978987038924,-0.26891093415887884,False,10.0
