date,market_cap,debt_face,rf,A_oos_mean,A_oos_median,A_oos_q05,A_oos_q95,theta_oos_mean,theta_oos_median,theta_oos_q05,theta_oos_q95,PD_P_mean,PD_P_median,PD_P_q05,PD_P_q95,PD_Q_mean,PD_Q_median,PD_Q_q05,PD_Q_q95,gvkey,window_train_start,window_train_end,window_oos_start,window_oos_end,window_idx
2016-11-18,48761610876.0,129410000000.0,-0.007519278435931582,287336086742.96326,179147486126.7041,179143790208.24356,179148229657.99594,-0.12323240522901933,0.1940504715239271,-12.10562371892483,12.046456107150988,0.002135068852748416,0.00028676249146666123,9.590202170482404e-07,0.011203024101822712,0.00043761898372898225,0.0002874892410394631,4.8657052822933865e-05,0.0012329256238766573,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-11-25,49839182276.840004,129410000000.0,-0.00795976255352799,288514556093.5918,180282694513.977,180279643055.55646,180283278513.9047,-0.17687048068410477,0.13071482888707744,-12.147394624844248,11.9872648555619,0.0017840076437752512,0.0002220626758394908,6.502939547350694e-07,0.00939424096313587,0.00035497212961934705,0.00022671215973804273,3.620280786455229e-05,0.0010202911345914534,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-12-02,48051256544.71999,129410000000.0,-0.007977357317962541,286748418974.8152,178496708991.59097,178492489736.35406,178497587874.68906,-0.179013000316614,0.12818494407352896,-12.149063122664213,11.984900493328269,0.0023649997465898585,0.00033277468008092754,1.196546816381055e-06,0.012382024506904963,0.0005059521086916408,0.0003387034034257724,5.974487907272719e-05,0.0014046825039644483,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-12-09,53439113548.92,129410000000.0,-0.00797781088144521,292083689054.5398,183885370330.43756,183883809410.56204,183885621523.85144,-0.17906823086711232,0.12811972789493456,-12.14910613373065,11.984839544021915,0.0009989169725989082,0.00010304404409583285,1.8579932438531573e-07,0.005385846253796855,0.00017238741512889993,9.916923990997307e-05,1.2903685604950826e-05,0.0005279389920116093,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-12-16,54179567640.0,129410000000.0,-0.007962559079623715,292812963412.3553,184623881849.91956,184622526012.31516,184624092070.74594,-0.17721101452846416,0.1303127269285302,-12.14765981726653,11.98688906200701,0.0008853950562836871,8.771774802685277e-05,1.4320851227847677e-07,0.004760370996135033,0.00014835320003029744,8.338441612891327e-05,1.0393748496084671e-05,0.00045979048992112587,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-12-23,54155487832.159996,129410000000.0,-0.008363063584014402,292890418376.75903,184652053278.01093,184650684927.2432,184652265980.9317,-0.225980412537108,0.07272576813137135,-12.18563923946765,11.933069428868302,0.0008813211446294576,8.71527051579613e-05,1.4178973261762951e-07,0.004737892629669475,0.0001497958015573034,8.431547620767977e-05,1.0546412893328122e-05,0.0004637902654080642,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-12-30,53427073645.0,129410000000.0,-0.00822444322119363,292134144101.3391,183905504840.93927,183903936007.01178,183905757663.32312,-0.20910065914791404,0.0926574246867666,-12.17249404111271,11.951697257076386,0.0009956454363511719,0.0001026023912422667,1.8448778266383955e-07,0.00536784528752338,0.0001733093792858912,9.977588811575886e-05,1.300797070281511e-05,0.0005304549395893108,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-01-01,95760556166.4,50016000000.0,-0.0039681064438854725,145975419247.54874,145975419271.46994,145975419138.6432,145975419272.47125,-2.238121254833136,-2.395639866111196,-7.996438657020644,4.110688925352953,5.437675728286944e-08,4.323132835741375e-11,1.7747432519538152e-14,1.1375985110679039e-07,1.373834849427354e-08,4.1987526378565156e-10,1.8323559345376877e-11,7.490205690300573e-08,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-08,85919877251.20001,50016000000.0,-0.004354404010770185,136154141826.93443,136154141977.04195,136154141129.54442,136154141983.30728,-2.251734065919098,-2.410264231690917,-8.008706416338054,4.098525700319262,3.009462947244701e-07,5.72410048376531e-10,3.419345150178238e-13,7.745518201413053e-07,8.364149640771989e-08,4.71806107593089e-09,2.9908743869325576e-10,4.554464271018147e-07,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-15,83190949484.79999,50016000000.0,-0.00419042178824033,133416977103.69057,133416977352.9878,133416975937.49408,133416977365.51178,-2.245955576781456,-2.4040563536548234,-8.003498885749263,4.103688863813342,4.86339975967023e-07,1.1000476212760383e-09,8.388550215133667e-13,1.2899724689024393e-06,1.3841338797780275e-07,9.196648173803157e-09,6.468213648220302e-10,7.498930085589348e-07,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-22,87284341134.4,50016000000.0,-0.0043253692270820475,137517147226.02893,137517147342.28918,137517146687.25626,137517147346.88556,-2.2507109352988905,-2.4091650746429423,-8.0077843786539,4.099439883136985,2.3708372774858469e-07,4.0387237711477104e-10,2.2587683825117305e-13,6.010329720678471e-07,6.49745297150378e-08,3.3710758368966503e-09,2.0289564958857846e-10,3.54412863029887e-07,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-01-29,85506403347.20001,50016000000.0,-0.004507965977424311,135748382574.4696,135748382736.9913,135748381817.77016,135748382744.12497,-2.257145212844651,-2.4160774644374214,-8.013582902499637,4.09369075202808,3.231127370411999e-07,6.319711515689286e-10,3.875333838594263e-13,8.353413401307224e-07,9.05411538246364e-08,5.242646832506704e-09,3.378043111954844e-10,4.926901491629296e-07,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-02-05,79717768691.20001,50016000000.0,-0.0045924088331738225,129963990328.86972,129963990811.68683,129963988055.13432,129963990841.55473,-2.260120710926373,-2.4192740600039997,-8.016264400334876,4.0910320915481195,8.926742514169346e-07,2.6093801645042324e-09,2.6478394572584883e-12,2.530001180414017e-06,2.668378447500088e-07,2.1881395697775742e-08,1.758938295513884e-09,1.4312719035342444e-06,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
2016-02-12,78369843764.16,50016000000.0,-0.004854214196369675,128629221698.2856,128629222323.69507,128629218745.71658,128629222365.9138,-2.269345625569343,-2.4291844293586564,-8.02457783114462,4.082789446899416,1.1294678204784562e-06,3.7103326281338188e-09,4.136394849893821e-12,3.3360344794784607e-06,3.453169010775581e-07,3.071242141761707e-08,2.6013181635614228e-09,1.8429161552658036e-06,100080,2014-01-03,2015-12-25,2016-01-01,2016-03-25,0.0
