date,market_cap,debt_face,rf,A_train_mean,A_train_median,A_train_q05,A_train_q95,theta_train_mean,theta_train_median,theta_train_q05,theta_train_q95,logA_train_median,dlogA_train_median,alpha_post_mean,beta1_post_mean,delta_post_mean,beta0_post_mean,alpha_post_median,beta1_post_median,delta_post_median,beta0_post_median,gvkey,window_train_start,window_train_end,window_idx
2015-11-20,59699863587.32,117366000000.0,-0.0037500744134523335,189763073301.49942,189763073301.49832,189763073301.49832,189763073301.49832,1.9296612516155873,2.718473998589533,-10.482270933567792,13.377842747373503,25.969042148353427,0.014805188327137841,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-11-27,61102512394.0,117366000000.0,-0.004022029296182588,191203783641.82587,191203783641.82492,191203783641.82492,191203783641.82492,1.8962286646857187,2.6917541678898624,-10.524343649621544,13.350739232768786,25.976605626289594,0.007563477936166407,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-12-04,59097868391.32,117366000000.0,-0.003145713841542994,189039749582.67923,189039749582.67862,189039749582.67862,189039749582.67862,2.003965217241111,2.7778622365607806,-10.420485125980639,13.438079515724926,25.96522314514517,-0.011382481144423195,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-12-11,56653767895.56,117366000000.0,-0.003569725131760979,186658151717.5758,186658151717.57498,186658151717.57498,186658151717.57498,1.9518334949008915,2.7361949126641925,-10.461009937636959,13.395817469437462,25.952544715168358,-0.012678429976812566,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-12-18,58218955405.159996,117366000000.0,-0.0038079263706040224,188254418296.63086,188254418296.63004,188254418296.63004,188254418296.63004,1.9225490895232515,2.7127897716506135,-10.491222437730414,13.372076997274087,25.961060173718213,0.008515458549855026,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-12-25,59326626565.799995,117366000000.0,-0.0038224843274157205,189355335398.86703,189355335398.86624,189355335398.86624,189355335398.86624,1.920759388531045,2.7113594022931036,-10.493474877966317,13.37062610509009,25.966891168340418,0.005830994622204599,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2016-01-01,58772790985.479996,117366000000.0,-0.0039681064438854725,188815251606.58606,188815251606.58655,188815251606.58655,188815251606.58655,1.9028574707295691,2.6970519351739313,-10.516002980716983,13.356113167995497,25.964034869209684,-0.0028562991307339303,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2016-01-08,50230479154.24,117366000000.0,-0.004354404010770185,180320154635.17728,180320154635.17648,180320154635.17648,180320154635.17648,1.8553711924033485,2.6591015389200408,-10.575738761842135,13.31761611173928,25.91799974479727,-0.04603512441241264,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2016-01-15,46967665191.92,117366000000.0,-0.00419042178824033,177017912937.58646,177017912937.58728,177017912937.58728,177017912937.58728,1.8755284768239726,2.6752107372223284,-10.550385602327648,13.333957649917105,25.899516767436776,-0.018482977360495312,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2016-01-22,47985037073.159996,117366000000.0,-0.0043253692270820475,178047288490.3197,178047288490.31876,178047288490.31876,178047288490.31876,1.8589401979456837,2.6619537739892944,-10.571250202249564,13.320509515596816,25.90531501763157,0.005798250194793297,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
